"dpa_canton","semana","fecha","varimovw"
"0101",12,2020-03-16,-0.618291690778162
"0101",13,2020-03-23,-0.7479741084048
"0101",14,2020-03-30,-0.729787593882613
"0101",15,2020-04-06,-0.746637262319352
"0101",16,2020-04-13,-0.720695791427824
"0101",17,2020-04-20,-0.694634496107386
"0101",18,2020-04-27,-0.673548542640221
"0101",19,2020-05-04,-0.614273024005073
"0101",20,2020-05-11,-0.599971577248145
"0101",21,2020-05-18,-0.556146756693423
"0101",22,2020-05-25,-0.474683521879266
"0101",23,2020-06-01,-0.405206030876477
"0101",24,2020-06-08,-0.375391856128583
"0101",25,2020-06-15,-0.335688226367407
"0102",12,2020-03-16,-0.718285714285714
"0102",13,2020-03-23,-0.855285714285714
"0102",14,2020-03-30,-0.833
"0102",15,2020-04-06,-0.852285714285714
"0102",16,2020-04-13,-0.842857142857143
"0102",17,2020-04-20,-0.815857142857143
"0102",18,2020-04-27,-0.799285714285714
"0102",19,2020-05-04,-0.762
"0102",20,2020-05-11,-0.731714285714286
"0102",21,2020-05-18,-0.683714285714286
"0102",22,2020-05-25,-0.575
"0102",23,2020-06-01,-0.526571428571429
"0102",24,2020-06-08,-0.492857142857143
"0102",25,2020-06-15,-0.459
"0103",12,2020-03-16,-0.610836553333807
"0103",13,2020-03-23,-0.735122406213517
"0103",14,2020-03-30,-0.722103745918481
"0103",15,2020-04-06,-0.741786376765058
"0103",16,2020-04-13,-0.718989915901235
"0103",17,2020-04-20,-0.687570674620182
"0103",18,2020-04-27,-0.659895921456078
"0103",19,2020-05-04,-0.607473847313843
"0103",20,2020-05-11,-0.581264088079321
"0103",21,2020-05-18,-0.539120194253406
"0103",22,2020-05-25,-0.462668677203573
"0103",23,2020-06-01,-0.38786392287529
"0103",24,2020-06-08,-0.362878159250104
"0103",25,2020-06-15,-0.306571849897235
"0104",12,2020-03-16,-0.466142857142857
"0104",13,2020-03-23,-0.585857142857143
"0104",14,2020-03-30,-0.578
"0104",15,2020-04-06,-0.583428571428571
"0104",16,2020-04-13,-0.605857142857143
"0104",17,2020-04-20,-0.538142857142857
"0104",18,2020-04-27,-0.522857142857143
"0104",19,2020-05-04,-0.478
"0104",20,2020-05-11,-0.444571428571429
"0104",21,2020-05-18,-0.442714285714286
"0104",22,2020-05-25,-0.345714285714286
"0104",23,2020-06-01,-0.270571428571429
"0104",24,2020-06-08,-0.297142857142857
"0104",25,2020-06-15,-0.261
"0105",12,2020-03-16,-0.647428571428571
"0105",13,2020-03-23,-0.768428571428571
"0105",14,2020-03-30,-0.750571428571429
"0105",15,2020-04-06,-0.763428571428571
"0105",16,2020-04-13,-0.735857142857143
"0105",17,2020-04-20,-0.699285714285714
"0105",18,2020-04-27,-0.670428571428571
"0105",19,2020-05-04,-0.612
"0105",20,2020-05-11,-0.591285714285714
"0105",21,2020-05-18,-0.536
"0105",22,2020-05-25,-0.474285714285714
"0105",23,2020-06-01,-0.419571428571429
"0105",24,2020-06-08,-0.379
"0105",25,2020-06-15,-0.31
"0108",12,2020-03-16,-0.590275711294589
"0108",13,2020-03-23,-0.663891770626346
"0108",14,2020-03-30,-0.618512633505317
"0108",15,2020-04-06,-0.6424342635442
"0108",16,2020-04-13,-0.649387424559795
"0108",17,2020-04-20,-0.609765910650631
"0108",18,2020-04-27,-0.593507055759981
"0108",19,2020-05-04,-0.545726725670072
"0108",20,2020-05-11,-0.504840647159355
"0108",21,2020-05-18,-0.459118707441223
"0108",22,2020-05-25,-0.330593730755138
"0108",23,2020-06-01,-0.259378732426694
"0108",24,2020-06-08,-0.194907342565171
"0108",25,2020-06-15,-0.0756494026358472
"0109",12,2020-03-16,-0.51246942344931
"0109",13,2020-03-23,-0.688298144793552
"0109",14,2020-03-30,-0.619231307389593
"0109",15,2020-04-06,-0.680200949465925
"0109",16,2020-04-13,-0.636617277781248
"0109",17,2020-04-20,-0.607097070397901
"0109",18,2020-04-27,-0.534438503341871
"0109",19,2020-05-04,-0.505828096695609
"0109",20,2020-05-11,-0.443280404772316
"0109",21,2020-05-18,-0.408043975263915
"0109",22,2020-05-25,-0.306645699294149
"0109",23,2020-06-01,-0.205910675245177
"0109",24,2020-06-08,-0.207130364170156
"0109",25,2020-06-15,-0.117749453432446
"0110",12,2020-03-16,-0.313588293927726
"0110",13,2020-03-23,-0.452565248594623
"0110",14,2020-03-30,-0.433559188230205
"0110",15,2020-04-06,-0.503991108807518
"0110",16,2020-04-13,-0.50657697061527
"0110",17,2020-04-20,-0.435013875044917
"0110",18,2020-04-27,-0.42279940991195
"0110",19,2020-05-04,-0.353411785814034
"0110",20,2020-05-11,-0.303994218731386
"0110",21,2020-05-18,-0.285605398508897
"0110",22,2020-05-25,-0.256993022606813
"0110",23,2020-06-01,-0.190986962242395
"0110",24,2020-06-08,-0.134465571548249
"0110",25,2020-06-15,-0.0318783142618798
"0111",12,2020-03-16,-0.469142857142857
"0111",13,2020-03-23,-0.589
"0111",14,2020-03-30,-0.629428571428571
"0111",15,2020-04-06,-0.619285714285714
"0111",16,2020-04-13,-0.651
"0111",17,2020-04-20,-0.600857142857143
"0111",18,2020-04-27,-0.572428571428571
"0111",19,2020-05-04,-0.540857142857143
"0111",20,2020-05-11,-0.482857142857143
"0111",21,2020-05-18,-0.459714285714286
"0111",22,2020-05-25,-0.429571428571429
"0111",23,2020-06-01,-0.383428571428571
"0111",24,2020-06-08,-0.350714285714286
"0111",25,2020-06-15,-0.286
"0112",12,2020-03-16,-0.634428571428571
"0112",13,2020-03-23,-0.821285714285714
"0112",14,2020-03-30,-0.797142857142857
