fecha,fallecidos totales,Cementerio Municipal,Campo Santo Santa Ana,"0 - 12 años
CM","12 - 18 años
CM","18 - 40 años
CM","40 - 65 años
CM","65 años en adelante
CM","confirmado COVID
CM","sospecha COVID
CM","NO COVID
CM","Hombres
CSSA","Mujeres
CSSA","0 - 12 años
CSSA","12 - 18 años
CSSA","18 - 40 años
CSSA","40 - 65 años
CSSA","65 años en adelante
CSSA","confirmado COVID
CSSA","sospecha COVID
CSSA","NO COVID
CSSA",0 - 12 años,12 - 18 años,18 - 40 años,40 - 65 años,65 años en adelante,confirmado COVID,sospecha COVID,NO COVID
15/3/20,4,3,1,,,1,,2,,,3,1,,,,,,1,,,1,0,0,1,0,3,0,0,4
16/3/20,3,2,1,,,,,2,,,2,,1,,,,,1,,,1,0,0,0,0,3,0,0,3
17/3/20,4,4,0,1,,,1,2,,,4,,,,,,,,,,,1,0,0,1,2,0,0,4
18/3/20,2,,2,,,,,,,,,2,,,,,,2,,,2,0,0,0,0,2,0,0,2
19/3/20,4,1,3,,,,,1,,,1,2,1,,,,1,2,,,3,0,0,0,1,3,0,0,4
20/3/20,7,3,4,,,,,3,,,3,,4,,,1,,3,,,4,0,0,1,0,6,0,0,7
21/3/20,2,1,1,1,,,,,,,1,1,,,,,,1,,1,,1,0,0,0,1,0,1,1
22/3/20,3,2,1,,,1,1,,,,2,,1,,,,,1,,,1,0,0,1,1,1,0,0,3
23/3/20,3,2,1,1,,,1,,,,2,,1,,,,,1,,,1,1,0,0,1,1,0,0,3
24/3/20,4,3,1,1,,1,,1,,,3,,1,,,,,1,,,1,1,0,1,0,2,0,0,4
25/3/20,2,2,0,,,1,,1,,,2,,,,,,,,,,,0,0,1,0,1,0,0,2
26/3/20,2,1,1,,,,,1,,,1,,1,,,,,1,,,1,0,0,0,0,2,0,0,2
27/3/20,5,4,1,,,,2,2,,,4,,1,,,,1,,,,1,0,0,0,3,2,0,0,5
28/3/20,5,,5,,,,,,,,,2,3,,,,1,4,,,5,0,0,0,1,4,0,0,5
29/3/20,4,2,2,1,,,,1,1,,1,1,1,,,,,2,,,2,1,0,0,0,3,1,0,3
30/3/20,8,7,1,,,1,3,3,3,,4,1,,,,,,1,,,1,0,0,1,3,4,3,0,5
31/3/20,6,3,3,1,,,1,1,,,3,2,1,1,,,,2,,,3,2,0,0,1,3,0,0,6
1/4/20,8,7,1,,,1,1,5,3,,4,1,,,,,,1,,,1,0,0,1,1,6,3,0,5
2/4/20,11,5,6,,,1,,4,3,,2,3,3,,,1,1,4,1,,5,0,0,2,1,8,4,0,7
3/4/20,7,3,4,,,,,3,2,,1,2,2,,,,,4,2,1,1,0,0,0,0,7,4,1,2
4/4/20,6,1,5,,,,,1,1,,,3,2,,,1,1,3,1,2,2,0,0,1,1,4,2,2,2
5/4/20,7,1,6,,,,,1,1,,,4,2,,,,3,3,2,2,2,0,0,0,3,4,3,2,2
6/4/20,10,3,7,,,,1,2,1,,2,6,1,,,,3,4,,3,4,0,0,0,4,6,1,3,6
7/4/20,5,1,4,,,,,1,,,1,3,1,,,,1,3,1,1,2,0,0,0,1,4,1,1,3
8/4/20,11,4,7,,,1,,3,2,,2,5,2,,1,,2,4,,3,4,0,1,1,2,7,2,3,6
