"dpa_canton","dpa_descan","p2010","p2011","p2012","p2013","p2014","p2015","p2016","p2017","p2018","p2019","p2020"
"0101","Cuenca",524551,535611,546854,558117,569405,580693,591987,603257,614529,625763,636984
"0102","Girón",13190,13195,13195,13194,13186,13174,13156,13132,13106,13073,13036
"0103","Gualaceo",44481,44989,45496,45993,46478,46950,47408,47851,48282,48698,49098
"0104","Nabón",16591,16684,16776,16861,16941,17015,17082,17144,17199,17248,17290
"0105","Paute",26555,26849,27143,27429,27708,27979,28243,28496,28741,28980,29210
"0106","Pucará",10509,10532,10553,10571,10585,10595,10600,10602,10600,10594,10583
"0107","San Fernando",4176,4180,4184,4186,4186,4185,4182,4178,4172,4164,4155
"0108","Santa Isabel",19165,19363,19562,19753,19942,20122,20297,20465,20629,20785,20934
"0109","Sígsig",28043,28321,28599,28870,29131,29384,29627,29861,30085,30300,30505
"0110","Oña",3731,3774,3817,3860,3902,3942,3981,4019,4056,4092,4127
"0111","Chordeleg",13072,13287,13505,13721,13936,14147,14357,14566,14771,14972,15173
"0112","El Pan",3178,3174,3169,3163,3156,3148,3139,3128,3117,3104,3090
"0113","Sevilla De Oro",6128,6209,6290,6371,6449,6527,6602,6676,6750,6820,6888
"0114","Guachapala",3553,3588,3623,3656,3689,3720,3750,3780,3807,3834,3859
"0115","Camilo Ponce Enríquez",17846,18748,19695,20682,21710,22779,23896,25054,26259,27511,28816
"0201","Guaranda",95716,97121,98514,99892,101247,102581,103879,105150,106384,107586,108757
"0202","Chillanes",18291,18174,18052,17924,17791,17651,17503,17349,17188,17022,16849
"0203","Chimbo",16487,16603,16717,16825,16923,17018,17103,17183,17256,17319,17376
"0204","Echeandía",12631,12791,12951,13107,13259,13408,13552,13692,13826,13956,14081
"0205","San Miguel",28510,28612,28702,28782,28852,28911,28953,28986,29002,29009,28999
"0206","Caluma",13645,13926,14208,14490,14772,15054,15333,15610,15885,16158,16429
"0207","Las Naves",6339,6452,6564,6677,6788,6899,7008,7115,7221,7325,7428
"0301","Azogues",73403,74693,75998,77305,78611,79912,81207,82491,83765,85025,86271
"0302","Biblián",21880,22087,22293,22496,22694,22887,23072,23251,23421,23584,23740
"0303","Cañar",62310,63007,63700,64388,65063,65724,66365,66990,67594,68178,68741
"0304","La Troncal",56645,58475,60359,62287,64255,66264,68316,70400,72521,74677,76870
"0305","El Tambo",9899,10143,10391,10643,10897,11153,11413,11673,11935,12198,12462
"0306","Déleg",6418,6462,6505,6547,6587,6625,6661,6694,6726,6754,6781
"0307","Suscal",5243,5365,5490,5615,5742,5870,5998,6128,6257,6387,6516
"0401","Tulcán",90124,91404,92681,93946,95197,96436,97658,98863,100051,101231,102389
"0402","Bolívar",15004,15076,15145,15208,15267,15322,15372,15418,15458,15492,15526
"0403","Espejo",14004,14004,14002,13993,13979,13963,13942,13916,13886,13852,13815
"0404","Mira",12791,12723,12653,12580,12502,12422,12335,12248,12157,12063,11968
"0405","Montúfar",31862,32134,32400,32661,32909,33153,33385,33608,33822,34029,34226
"0406","San Pedro De Huaca",7947,8051,8154,8257,8357,8457,8555,8651,8746,8839,8930
"0501","Latacunga",176837,179789,182744,185693,188623,191533,194418,197272,200090,202873,205619
"0502","La Maná",43579,44822,46091,47382,48690,50018,51365,52727,54103,55495,56903
"0503","Pangua",22854,23058,23257,23452,23640,23822,23995,24163,24319,24470,24611
"0504","Pujilí",71758,72627,73489,74342,75176,75995,76792,77570,78324,79060,79769
"0505","Salcedo",60500,61220,61932,62635,63322,63997,64653,65293,65914,66514,67097
"0506","Saquisilí",26230,26747,27268,27791,28315,28837,29359,29879,30397,30910,31424
"0507","Sigchos",22886,22959,23024,23085,23137,23182,23217,23246,23264,23273,23275
"0601","Riobamba",234164,237399,240607,243755,246856,249885,252861,255761,258589,261352,264043
"0602","Alausí",45998,45981,45949,45900,45832,45749,45642,45520,45380,45223,45048
"0603","Colta",46971,46833,46680,46510,46323,46118,45894,45655,45399,45126,44837
"0604","Chambo",12349,12470,12588,12702,12812,12917,13019,13116,13208,13295,13378
"0605","Chunchi",13242,13218,13192,13158,13123,13081,13032,12979,12922,12859,12792
"0606","Guamote",46638,47771,48918,50071,51231,52397,53570,54744,55923,57104,58290
"0607","Guano",44513,44964,45404,45830,46245,46641,47025,47389,47740,48073,48391
"0608","Pallatanga",12024,12070,12112,12149,12182,12210,12233,12251,12265,12273,12277
"0609","Penipe",7025,7031,7031,7031,7029,7022,7015,7002,6989,6971,6951
"0610","Cumandá",13305,13734,14174,14621,15077,15540,16012,16491,16977,17471,17973
"0701","Machala",256021,259619,263160,266637,270046,273389,276668,279886,283036,286119,289140
"0702","Arenillas",27868,28434,29000,29563,30127,30688,31248,31808,32364,32919,33471
"0703","Atahualpa",6084,6130,6172,6212,6252,6287,6320,6352,6381,6409,6432
"0704","Balsas",7099,7301,7506,7713,7922,8134,8349,8566,8785,9007,9232
"0705","Chilla",2608,2589,2569,2548,2526,2503,2480,2455,2430,2405,2379
"0706","El Guabo",51872,53039,54209,55382,56556,57734,58913,60094,61274,62456,63643
"0707","Huaquillas",50122,51160,52200,53237,54272,55304,56336,57366,58393,59417,60440
"0708","Marcabelí",5677,5743,5807,5870,5931,5990,6047,6102,6156,6208,6258
"0709","Pasaje",75698,76959,78210,79447,80670,81880,83075,84259,85426,86578,87719
"0710","Piñas",27059,27408,27748,28081,28408,28726,29034,29339,29633,29922,30203
"0711","Portovelo",12709,12857,13003,13144,13283,13415,13545,13670,13793,13911,14025
"0712","Santa Rosa",71815,72917,74009,75085,76145,77186,78213,79226,80223,81201,82166
"0713","Zaruma",25184,25275,25357,25427,25487,25539,25580,25611,25632,25646,25649
"0714","Las Lajas",5015,5019,5021,5019,5017,5011,5004,4997,4986,4975,4961
"0801","Esmeraldas",196090,198769,201368,203877,206292,208611,210829,212948,214970,216897,218723
"0802","Eloy Alfaro",41122,41663,42182,42687,43166,43629,44071,44490,44887,45266,45620
